Fname,Lname,Username,Gender,Age,Education_Level,Relationship_Status,Hometown,Password,Phone_NO,Email
Olivian,Trevor, Olivia,F,32,5,Single,Springfield,uZYhp,9125786978,bt20ece001@iiitn.ac.in
Aayan,Khan,Aayan,M,65,2,Single,Lebanon,aidjS,9575874759,bt20ece002@iiitn.ac.in
Adenen,Sam,Aden,M,52,3,Married,Springfield,hGytf,9889328974,bt20ece004@iiitn.ac.in
Adrienen,Francis Adrien,M,50,5,Single,Washington,hFDod,8804857948,,bt20ece005@iiitn.ac.in
Sophi,Trumuer,Sophia,F,44,3,Married,Franklin,2cuBq&,8787893434,bt20ece006@iiitn.ac.in
Charlie,Billing,charlotte,F,22,4,Married,Franklin,%Ja35f,9876760454,bt20ece007@iiitn.ac.in
Glenn,Maxwell,Lucas,M,42,3,Married,Washington,boI8Q,9555054325,bt20ece008@iiitn.ac.in
Ricky,Ponting,Emma,F,41,2,Married,Springfield,wuaI&X,9987453245,bt20ece009@iiitn.ac.in
Benjamin,Franklin,Benjamin.,M,31,1,Single,Springfield,vBv8y,9787785645,bt20ece013@iiitn.ac.in
James, Anderson,James.,M,48,2,Single,Springfield,MsZUp,8299790845,bt20ece103@iiitn.ac.in
Sonia,Billings,Charlotte,F,31,4,Single,Springfield,awnp,6386590435,bt20ece087@iiitn.ac.in
Mohammed,Elijah,Elijah.,M,29,4,Single,Washington,uG6EA,6789089345,bt20ece083@iiitn.ac.in
Avain, Rijwan,Ava,F,28,4,Single,Lebanon,1z9f1,7476858495,bt20ece023@iiitn.ac.in
Rishab,Gupta,Avery,F,65,3,Married,Franklin,c37f,7878945345,bt20ece303@iiitn.ac.in
Guliver,Oliver,Oliver.,M,54,3,Single,Washington,mxiZm,9889453245,bt20ece403@iiitn.ac.in
Emily,Stankov,Emily,F,64,5,Single,Lebanon,TCkvrX,8974587435,bt20ece513@iiitn.ac.in
Nusrat,Fateh,Noah.,M,42,4,Married,Lebanon,KzA7wJ6,9384879879,bt20ece999@iiitn.ac.in
Scar,LordScarlett,F,34,2,Married,Lebanon,1cdf1,8789798534,,bt20ece998@iiitn.ac.in
Liamas,Bothom,Liam.,M,38,3,Married,Washington,J3HfEd,9812332565,bt20ece997@iiitn.ac.in
Salman,Khan,Eleanor,F,32,1,Married,Franklin,16qbMkf,9764763245,bt20ece996@iiitn.ac.in
Ayush,Shukla,ayush,M,19,4,single,gopiganj,dfjskdjf,6487333434,bt20ece873@iiitn.ac.in
Yash,Mishra,yash,M,19,4,single,noida,dfkjlsd,9234654350,bt20ece@iiitn.ac.in
Shristi, Kesarwanishristi,F,19,4,single,surat,zcmn4akj,900345000,,bt20ecejhkf@iiitn.ac.in
Willium, Tiwari,willium,M,19,4,single,kolkata,kdajfiou8,8786786780,bt20ecedfd@iiitn.ac.in
L.sai,Uma,uma,F,19,4,single,germany,euroi,9884343343,umasai@gmail.com
Pranjal,Shukla,pranjalop,M,17,3,single,Bhadohi,piyush,9889312714,pranjal@gmail.com
Yash ,Mishra,yashnew,M,18,1,Single,MP,helloworld,9589926633,yo@yo.com
